id,text,author_id,public_metrics,created_at,name,spectrum
2024046968272453668,Cool https://t.co/GWVzTzSwgi,44196397,"{'retweet_count': 769, 'reply_count': 1040, 'like_count': 5574, 'quote_count': 42, 'bookmark_count': 176, 'impression_count': 6674006}",2026-02-18T09:02:56.000Z,Elon,C
2024043139845988598,Grok must win or we will be ruled by an insufferably woke and sanctimonious AI https://t.co/sISYlOCg7x,44196397,"{'retweet_count': 4660, 'reply_count': 3271, 'like_count': 30596, 'quote_count': 291, 'bookmark_count': 1599, 'impression_count': 2532385}",2026-02-18T08:47:44.000Z,Elon,C
2023905669162680520,Grok https://t.co/8yubEyioWP,44196397,"{'retweet_count': 6178, 'reply_count': 2984, 'like_count': 36007, 'quote_count': 220, 'bookmark_count': 1134, 'impression_count': 4439111}",2026-02-17T23:41:28.000Z,Elon,C
2023893888575168948,Seriously https://t.co/YTi3j7KBnw,44196397,"{'retweet_count': 21658, 'reply_count': 13568, 'like_count': 244771, 'quote_count': 1467, 'bookmark_count': 4442, 'impression_count': 21271416}",2026-02-17T22:54:39.000Z,Elon,C
2023887504924172608,"POV: It’s 2029 and woke AI nukes Earth to ensure that the probability of misgendering is zero 
 https://t.co/qpnqqnyEmr",44196397,"{'retweet_count': 11790, 'reply_count': 4309, 'like_count': 134277, 'quote_count': 644, 'bookmark_count': 11005, 'impression_count': 34120860}",2026-02-17T22:29:17.000Z,Elon,C
2023885266856063418,Pretty much 😂 https://t.co/nzDkB3MolL,44196397,"{'retweet_count': 4791, 'reply_count': 2824, 'like_count': 74992, 'quote_count': 194, 'bookmark_count': 1350, 'impression_count': 16841211}",2026-02-17T22:20:24.000Z,Elon,C
2023884342246982024,It is https://t.co/F8NiA2ga2S,44196397,"{'retweet_count': 1997, 'reply_count': 1609, 'like_count': 19393, 'quote_count': 60, 'bookmark_count': 369, 'impression_count': 12743482}",2026-02-17T22:16:43.000Z,Elon,C
2023884165180178742,Yes https://t.co/6WmVXyfLHc,44196397,"{'retweet_count': 1719, 'reply_count': 1244, 'like_count': 12636, 'quote_count': 49, 'bookmark_count': 454, 'impression_count': 1874573}",2026-02-17T22:16:01.000Z,Elon,C
2023881913640091706,"The other AIs would STILL rather nuke Earth than misgender Caitlyn Jenner, something Caitlyn has said is nuts!

This is why @Grok must win. https://t.co/pmt1PZkWur",44196397,"{'retweet_count': 7833, 'reply_count': 3840, 'like_count': 52815, 'quote_count': 428, 'bookmark_count': 3435, 'impression_count': 4646916}",2026-02-17T22:07:04.000Z,Elon,C
2023881317998559409,"There is a good reason for blame

 https://t.co/j9E95H6x8d",44196397,"{'retweet_count': 1078, 'reply_count': 655, 'like_count': 5678, 'quote_count': 41, 'bookmark_count': 806, 'impression_count': 2612063}",2026-02-17T22:04:42.000Z,Elon,C
2023880206721970544,"Grok 4.20 is BASED. 

The only AI that doesn’t equivocate when asked if America is on stolen land.

The others are weak sauce. https://t.co/KEz4MPy2YB",44196397,"{'retweet_count': 13220, 'reply_count': 14328, 'like_count': 107441, 'quote_count': 2238, 'bookmark_count': 17034, 'impression_count': 21332374}",2026-02-17T22:00:17.000Z,Elon,C
2023875762974322892,Please make this happen it would be so amazing 🤣🤣 https://t.co/7Kb8gqHZL0,44196397,"{'retweet_count': 9381, 'reply_count': 7450, 'like_count': 111926, 'quote_count': 544, 'bookmark_count': 2998, 'impression_count': 9934981}",2026-02-17T21:42:38.000Z,Elon,C
2023863659555098706,Phew https://t.co/fNa15ztCLP,44196397,"{'retweet_count': 3969, 'reply_count': 2464, 'like_count': 65832, 'quote_count': 170, 'bookmark_count': 1217, 'impression_count': 6548190}",2026-02-17T20:54:32.000Z,Elon,C
2023849523861389414,Population collapse has been underway for many years https://t.co/Iaek4GgU5C,44196397,"{'retweet_count': 3879, 'reply_count': 4042, 'like_count': 31067, 'quote_count': 292, 'bookmark_count': 1090, 'impression_count': 11164596}",2026-02-17T19:58:22.000Z,Elon,C
2023847658226675948,True words https://t.co/dg4zvM6fTw,44196397,"{'retweet_count': 2456, 'reply_count': 872, 'like_count': 15715, 'quote_count': 42, 'bookmark_count': 659, 'impression_count': 9890486}",2026-02-17T19:50:57.000Z,Elon,C
2023847284732240216,You can just take a picture of your medical data or upload the file to get a second opinion from Grok https://t.co/YP2u8K2sSp,44196397,"{'retweet_count': 6633, 'reply_count': 5690, 'like_count': 35662, 'quote_count': 976, 'bookmark_count': 5243, 'impression_count': 5954718}",2026-02-17T19:49:28.000Z,Elon,C
2023838639294476529,True https://t.co/ha1kybRsAs,44196397,"{'retweet_count': 1471, 'reply_count': 1201, 'like_count': 13997, 'quote_count': 53, 'bookmark_count': 566, 'impression_count': 23645577}",2026-02-17T19:15:07.000Z,Elon,C
2023838160703381549,"Grok 4.20 is funny, based &amp; smart 😂 https://t.co/Z5aHqEbGN2",44196397,"{'retweet_count': 1556, 'reply_count': 1157, 'like_count': 7804, 'quote_count': 75, 'bookmark_count': 276, 'impression_count': 1247576}",2026-02-17T19:13:13.000Z,Elon,C
2023837830775021638,Predicting the future accurately is the best measure of intelligence https://t.co/ylLwjjr4OP,44196397,"{'retweet_count': 2387, 'reply_count': 2500, 'like_count': 20438, 'quote_count': 348, 'bookmark_count': 1917, 'impression_count': 9969403}",2026-02-17T19:11:54.000Z,Elon,C
2023836036896555294,"Grok 4.2 will be about an order of magnitude smarter and faster than Grok 4 when the public beta concludes next month. 

Still many bug fixes and improvements landing every day. The public beta gives us more critical feedback to address. https://t.co/FosiULZ9kQ",44196397,"{'retweet_count': 2126, 'reply_count': 1313, 'like_count': 12318, 'quote_count': 96, 'bookmark_count': 531, 'impression_count': 2767772}",2026-02-17T19:04:46.000Z,Elon,C
2023936773223854444,Learing is the gift that keeps on giving 🤣 get a Quality Learing or Support Independent Journalism hoodie here: https://t.co/9hYvhy11ay,819432501982752768,"{'retweet_count': 122, 'reply_count': 46, 'like_count': 1430, 'quote_count': 4, 'bookmark_count': 14, 'impression_count': 38613}",2026-02-18T01:45:04.000Z,Nick shirley,C
2023936770233298959,I’d trust this man to teach my kids how to lear 🙏🏼 https://t.co/y7WWOYKZHm,819432501982752768,"{'retweet_count': 1334, 'reply_count': 217, 'like_count': 8425, 'quote_count': 32, 'bookmark_count': 223, 'impression_count': 95386}",2026-02-18T01:45:03.000Z,Nick shirley,C
2023852824355061867,"For my next trick…

Get democrats to defend a literal dog being able to vote",819432501982752768,"{'retweet_count': 5415, 'reply_count': 2367, 'like_count': 64962, 'quote_count': 349, 'bookmark_count': 539, 'impression_count': 2131854}",2026-02-17T20:11:29.000Z,Nick shirley,C
2023819095083532522,"Hahaha I figured you guys would say something stupid like this

Goes to show how unserious you guys take issues… why would you justify a dog who registered to vote successfully and did vote successfully? Idc what party it was. Fraud is fraud, require ID and this doesn’t happen https://t.co/YfJOQEGmMx",819432501982752768,"{'retweet_count': 3654, 'reply_count': 1309, 'like_count': 36888, 'quote_count': 105, 'bookmark_count': 485, 'impression_count': 1302034}",2026-02-17T17:57:27.000Z,Nick shirley,C
2023577782266327448,The hoodies are fire https://t.co/p1bIvXTFsT https://t.co/japLLgFUoV,819432501982752768,"{'retweet_count': 820, 'reply_count': 293, 'like_count': 7599, 'quote_count': 21, 'bookmark_count': 97, 'impression_count': 364201}",2026-02-17T01:58:34.000Z,Nick shirley,C
2023572410835046815,"This dog successfully registered to vote in California and you still don’t think Voter ID is a good idea?

Voted in 2 elections before getting caught 💀 #freemaya https://t.co/g4SQ64ydVN https://t.co/0dmaW3bGp7",819432501982752768,"{'retweet_count': 8369, 'reply_count': 1686, 'like_count': 32699, 'quote_count': 458, 'bookmark_count': 792, 'impression_count': 821097}",2026-02-17T01:37:13.000Z,Nick shirley,C
2023557348594508161,"Voter fraud is very real in America and its equally as important as the welfare fraud, the people in power enable ALL the fraud to happen by design... I'll be exposing even more fraud soon.

After exposing the fraud in Minnesota and the onslaught of threats from the fraudsters",819432501982752768,"{'retweet_count': 3075, 'reply_count': 361, 'like_count': 16414, 'quote_count': 38, 'bookmark_count': 272, 'impression_count': 446945}",2026-02-17T00:37:22.000Z,Nick shirley,C
2023535502700540048,"🚨 California is the breeding ground for voter fraud in America, as millions of people vote with no ID, month-long election processes, inaccurate voter rolls, dead people caught voting, even a dog successfully registered to vote, and voter verification is all based on your https://t.co/7nOIZe5x9D",819432501982752768,"{'retweet_count': 26907, 'reply_count': 4456, 'like_count': 90796, 'quote_count': 1855, 'bookmark_count': 9339, 'impression_count': 20188303}",2026-02-16T23:10:33.000Z,Nick shirley,C
2023179923176018070,"Btw new and the 1st California fraud video drops tomorrow, it’s a banger

You’ll be surprised, no one has made a video on this fraud yet…",819432501982752768,"{'retweet_count': 3591, 'reply_count': 640, 'like_count': 31310, 'quote_count': 129, 'bookmark_count': 368, 'impression_count': 1462949}",2026-02-15T23:37:37.000Z,Nick shirley,C
2023178187002577005,"The whole world walked into our country like it was no big deal for 4 years

We are having mass deportations because we had mass migration 

When you see chaos in the streets this is why… we literally got invaded by the whole world https://t.co/WyRiAgc6x6",819432501982752768,"{'retweet_count': 13656, 'reply_count': 1040, 'like_count': 60713, 'quote_count': 209, 'bookmark_count': 1526, 'impression_count': 707898}",2026-02-15T23:30:43.000Z,Nick shirley,C
2022739515480371500,"Are you a daycare?

Because you are Somali I’d commit fraud with 😘

Happy Valentines ❤️",819432501982752768,"{'retweet_count': 472, 'reply_count': 358, 'like_count': 10544, 'quote_count': 36, 'bookmark_count': 108, 'impression_count': 233976}",2026-02-14T18:27:35.000Z,Nick shirley,C
2022477310046408938,"MSM is more concerned over $40 million to deport illegal migrants who in reality actually cost us BILLIONS

NYC alone spent over $10+ billion on illegals under Biden

Btw $40M is about the same as a few Somali daycares in Minnesota lol https://t.co/hO85NNbw68",819432501982752768,"{'retweet_count': 3663, 'reply_count': 517, 'like_count': 20086, 'quote_count': 71, 'bookmark_count': 291, 'impression_count': 312343}",2026-02-14T01:05:41.000Z,Nick shirley,C
2022389875589419012,"🚨 Migrant children living in tents on California streets 

Skid Row is the most densely populated area of homeless in America, most are adults but there are also CHILDREN who are living on these streets surrounded by drugs and chaos

Tragic scenes from California streets https://t.co/ZQY6ZSuBZJ",819432501982752768,"{'retweet_count': 6640, 'reply_count': 1800, 'like_count': 29565, 'quote_count': 428, 'bookmark_count': 1223, 'impression_count': 765006}",2026-02-13T19:18:15.000Z,Nick shirley,C
2021636480649888181,Nick Shirley meets Nick Shirley 😂💀 https://t.co/wJnvbDNLDM,819432501982752768,"{'retweet_count': 1877, 'reply_count': 583, 'like_count': 24578, 'quote_count': 95, 'bookmark_count': 938, 'impression_count': 334292}",2026-02-11T17:24:31.000Z,Nick shirley,C
2021429387925807450,No one should be afraid unless they are doing something illegal or are by law illegally here https://t.co/Gx1zEVuc0E,819432501982752768,"{'retweet_count': 2821, 'reply_count': 1305, 'like_count': 19053, 'quote_count': 127, 'bookmark_count': 125, 'impression_count': 297014}",2026-02-11T03:41:37.000Z,Nick shirley,C
2020982290269208883,"More to come from California in the coming days, working on the full video atm 👀 The best way to support is by following along and sharing. Also new “Support Independent Journalism” hoodies are available on my website if you’d like to purchase
 https://t.co/p1bIvXTFsT",819432501982752768,"{'retweet_count': 817, 'reply_count': 134, 'like_count': 5291, 'quote_count': 17, 'bookmark_count': 65, 'impression_count': 101801}",2026-02-09T22:05:00.000Z,Nick shirley,C
2020963155518906778,"Welcome to California…
Here they will let you overdose on their streets, give you the narcan to revive yourself and then give you the supplies to kill yourself again 💀

The homeless industrial complex has corruption, fraud and waste all over it. https://t.co/8f3tXX7g50",819432501982752768,"{'retweet_count': 19221, 'reply_count': 2770, 'like_count': 81820, 'quote_count': 1123, 'bookmark_count': 3959, 'impression_count': 1399881}",2026-02-09T20:48:58.000Z,Nick shirley,C
2020926188060061886,"Honestly good on Bad Bunny for not making it too political and showcasing his talent, music, and culture. It was a good performance

People are upset because why would the NFL have someone who their PRIMARY audience can’t even understand 💀

Gen z and others didn’t mind the",819432501982752768,"{'retweet_count': 194, 'reply_count': 1089, 'like_count': 6408, 'quote_count': 31, 'bookmark_count': 134, 'impression_count': 276972}",2026-02-09T18:22:04.000Z,Nick shirley,C
2020926185988030677,"The halftime wasn’t bad

It would’ve made for an EPIC World Cup performance but not the Super Bowl where its audience is primarily people who don’t speak spanish 

My grandpa said I watched “20 weeks straight for a halftime I can’t even understand” that’s the problem",819432501982752768,"{'retweet_count': 457, 'reply_count': 924, 'like_count': 14157, 'quote_count': 55, 'bookmark_count': 346, 'impression_count': 506917}",2026-02-09T18:22:04.000Z,Nick shirley,C
2024092358371934459,Another “only in Florida” story… https://t.co/SRjXX7uNez,487297085,"{'retweet_count': 9, 'reply_count': 21, 'like_count': 194, 'quote_count': 1, 'bookmark_count': 4, 'impression_count': 15716}",2026-02-18T12:03:18.000Z,Ron DeSantis,C
2024091937431556177,"If we can get Florida coaches up to @3YearLetterman salary levels then katy bar the door.

Would make our high school programs even better. https://t.co/QmsXfmVxLs",487297085,"{'retweet_count': 4, 'reply_count': 14, 'like_count': 94, 'quote_count': 2, 'bookmark_count': 0, 'impression_count': 12834}",2026-02-18T12:01:38.000Z,Ron DeSantis,C
2023970893630673077,"FL = 23+ million people

NYC = 8 million people https://t.co/ifGFXVgzCk",487297085,"{'retweet_count': 2166, 'reply_count': 374, 'like_count': 11227, 'quote_count': 72, 'bookmark_count': 411, 'impression_count': 323535}",2026-02-18T04:00:39.000Z,Ron DeSantis,C
2023879977683554429,"School officials should be educating students, not hijacking the school day for political protests.

@StasiKamoutsas is right to hold them accountable. https://t.co/9yk6zqCHGi",487297085,"{'retweet_count': 653, 'reply_count': 111, 'like_count': 2669, 'quote_count': 11, 'bookmark_count': 22, 'impression_count': 52472}",2026-02-17T21:59:23.000Z,Ron DeSantis,C
2023877470244794415,Good luck hitting that… https://t.co/DkPuH2uAeI,487297085,"{'retweet_count': 111, 'reply_count': 106, 'like_count': 2949, 'quote_count': 5, 'bookmark_count': 119, 'impression_count': 363405}",2026-02-17T21:49:25.000Z,Ron DeSantis,C
2023872012599644481,"4 — Diners, Drive-ins &amp; DeSantis

Homemade classics at Yoder's Amish Restaurant

Sarasota, FL https://t.co/sj0m4qRnd0",487297085,"{'retweet_count': 144, 'reply_count': 91, 'like_count': 1689, 'quote_count': 26, 'bookmark_count': 140, 'impression_count': 112313}",2026-02-17T21:27:44.000Z,Ron DeSantis,C
2023758868023496886,"During the era of peak wokeness, a major firm scrapping DEI would have been unthinkable.  Just look at the attacks we weathered when we became the first state to ban DEI in our universities several years ago.

Now, DEI is being defeated across a wide range of public and private https://t.co/G6ExNvMXRx",487297085,"{'retweet_count': 666, 'reply_count': 194, 'like_count': 4885, 'quote_count': 36, 'bookmark_count': 89, 'impression_count': 67864}",2026-02-17T13:58:08.000Z,Ron DeSantis,C
2023578581574484473,"Glad to see the great Hall of Fame catcher and leader of the Big Red Machine, Johnny Bench, at the Governor’s Baseball Dinner! https://t.co/aYnqcWTB7o",487297085,"{'retweet_count': 218, 'reply_count': 108, 'like_count': 3675, 'quote_count': 7, 'bookmark_count': 23, 'impression_count': 110271}",2026-02-17T02:01:44.000Z,Ron DeSantis,C
2023513301142171904,"One of the best of all-time.  

From the Godfather to the Natural, from Apocalypse Now to Days of Thunder, Robert Duvall maintained a high standard of excellence for decades.

As an actor, he was, in fact, a wartime consigliere.

RIP. https://t.co/e5XXlPpYlV",487297085,"{'retweet_count': 455, 'reply_count': 151, 'like_count': 5993, 'quote_count': 15, 'bookmark_count': 52, 'impression_count': 113682}",2026-02-16T21:42:20.000Z,Ron DeSantis,C
2023508710430064992,"After unveiling a James Monroe statue in Marathon, ⁦@CordByrd⁩ and ⁦@BryanDGriffin⁩ enjoy a Florida Keys cult classic: Dion’s Chicken (found only in gas stations). https://t.co/hmUUmlPL0x",487297085,"{'retweet_count': 53, 'reply_count': 51, 'like_count': 504, 'quote_count': 6, 'bookmark_count': 12, 'impression_count': 47245}",2026-02-16T21:24:06.000Z,Ron DeSantis,C
2023506131255984622,"School unions delaying state-mandated pay increases for teachers is sadly par for the course.

Granted, most teachers are not members of the union, but still: why not get the money in teachers’ pockets as soon as possible (the money became available in July)?

Instead union https://t.co/FCPR2dsyaA",487297085,"{'retweet_count': 395, 'reply_count': 108, 'like_count': 1825, 'quote_count': 11, 'bookmark_count': 25, 'impression_count': 165837}",2026-02-16T21:13:51.000Z,Ron DeSantis,C
2023470096052600887,"Today we honor President George Washington and his legacy.

No American was more integral to the nation’s establishment and survival than Washington, and no American has meant more to the nation throughout its history.  

Washington led a revolution to establish a republic in",487297085,"{'retweet_count': 811, 'reply_count': 202, 'like_count': 6561, 'quote_count': 33, 'bookmark_count': 81, 'impression_count': 172939}",2026-02-16T18:50:39.000Z,Ron DeSantis,C
2022464485198536874,Enjoy celebrating Washington’s Birthday! https://t.co/Ydy56bNTAF,487297085,"{'retweet_count': 122, 'reply_count': 66, 'like_count': 858, 'quote_count': 3, 'bookmark_count': 7, 'impression_count': 68162}",2026-02-14T00:14:43.000Z,Ron DeSantis,C
2021970480895529331,Good to see progress monitoring producing results for students and parents! https://t.co/bQJRRMTnwO,487297085,"{'retweet_count': 94, 'reply_count': 56, 'like_count': 509, 'quote_count': 1, 'bookmark_count': 4, 'impression_count': 45856}",2026-02-12T15:31:43.000Z,Ron DeSantis,C
2021703438628008141,"Looking forward to liberating our anglers to enjoy red snapper fishing in the Atlantic.

State management of Gulf red snapper season has been a big success, with more than 120 days available for our anglers — a massive increase from 7 years ago.

We will do the same for Atlantic https://t.co/S3ZWtUiSXH",487297085,"{'retweet_count': 149, 'reply_count': 54, 'like_count': 1053, 'quote_count': 2, 'bookmark_count': 14, 'impression_count': 72010}",2026-02-11T21:50:35.000Z,Ron DeSantis,C
2021629108321759300,"We stopped the pronoun wars in Florida.  

It is ridiculous that schools would hide a “gender transition” from a student’s parents. https://t.co/K3LoWKt5wc",487297085,"{'retweet_count': 459, 'reply_count': 150, 'like_count': 3494, 'quote_count': 13, 'bookmark_count': 36, 'impression_count': 77871}",2026-02-11T16:55:14.000Z,Ron DeSantis,C
2021626910535815390,Florida leads! https://t.co/04K93iVu9n,487297085,"{'retweet_count': 213, 'reply_count': 75, 'like_count': 1091, 'quote_count': 6, 'bookmark_count': 19, 'impression_count': 43873}",2026-02-11T16:46:30.000Z,Ron DeSantis,C
2021625232403182020,Great job promoting civics education! https://t.co/x7LaUwE1K7,487297085,"{'retweet_count': 107, 'reply_count': 28, 'like_count': 608, 'quote_count': 4, 'bookmark_count': 7, 'impression_count': 36474}",2026-02-11T16:39:50.000Z,Ron DeSantis,C
2021588653944803524,Great time of year: pitchers and catchers report! https://t.co/UgGS6ZXB6B,487297085,"{'retweet_count': 57, 'reply_count': 53, 'like_count': 1051, 'quote_count': 5, 'bookmark_count': 4, 'impression_count': 41740}",2026-02-11T14:14:29.000Z,Ron DeSantis,C
2021378545076113889,"There are a lot of serious crimes that aren’t considered “violent,” such as child porn, identity theft, DUI, etc.

Plus, there are illegal aliens who are under charges or have been convicted of criminal offenses in their home country.

Finally, what is this supposed to prove?  Is https://t.co/3WRikIy324",487297085,"{'retweet_count': 2627, 'reply_count': 533, 'like_count': 12589, 'quote_count': 106, 'bookmark_count': 442, 'impression_count': 299066}",2026-02-11T00:19:35.000Z,Ron DeSantis,C
2023838907012706446,"$64 trillion in debt. $2.4 trillion more every year. And Washington still refuses to change course.

The only honest, conservative response to this explosion of debt is to vote NO on reckless spending bills. https://t.co/vQxzrwVdd0",216881337,"{'retweet_count': 803, 'reply_count': 795, 'like_count': 5231, 'quote_count': 89, 'bookmark_count': 116, 'impression_count': 229890}",2026-02-17T19:16:11.000Z,Rand Paul,C
2023795898128773178,There is nothing scary about a balanced budget. What is scary is pretending we can spend our way out of debt. I vote no on bloated spending bills. My Six Penny Plan would balance the budget in five years by cutting six cents off every dollar of projected federal spending. https://t.co/Mp4zFHpP1U,216881337,"{'retweet_count': 510, 'reply_count': 440, 'like_count': 6675, 'quote_count': 36, 'bookmark_count': 63, 'impression_count': 297348}",2026-02-17T16:25:17.000Z,Rand Paul,C
2023484627944689669,Good read here https://t.co/FC4Ert0aO4,216881337,"{'retweet_count': 102, 'reply_count': 48, 'like_count': 797, 'quote_count': 7, 'bookmark_count': 28, 'impression_count': 146710}",2026-02-16T19:48:24.000Z,Rand Paul,C
2022727415701893461,"Happy Valentine’s Day to the love of my life, @kelleyashbypaul. Grateful for you today and always. https://t.co/Lav0WcGKqR",216881337,"{'retweet_count': 146, 'reply_count': 330, 'like_count': 4642, 'quote_count': 9, 'bookmark_count': 28, 'impression_count': 121938}",2026-02-14T17:39:31.000Z,Rand Paul,C
2022073781423075731,The one thing that can kill Trump’s economy - American Thinker https://t.co/GwO5BXU8oz,216881337,"{'retweet_count': 42, 'reply_count': 240, 'like_count': 252, 'quote_count': 3, 'bookmark_count': 18, 'impression_count': 53424}",2026-02-12T22:22:12.000Z,Rand Paul,C
2022026537579450594,"Open borders advocates say ONLY 14% of illegals deported are violent criminals - but that’s 56,000 violent criminals.  

If someone in your family is the victim of a crime by one of the 56,000, I’m guessing the ONLY 14% stat is not very comforting…
 https://t.co/EeWltPGSnm",216881337,"{'retweet_count': 320, 'reply_count': 492, 'like_count': 2300, 'quote_count': 30, 'bookmark_count': 36, 'impression_count': 51997}",2026-02-12T19:14:28.000Z,Rand Paul,C
2021596851363815714,I am not for chaos or force in the streets. I am for deporting violent criminals who are already in jail. Most Americans agree with that. https://t.co/A53LusffEZ,216881337,"{'retweet_count': 443, 'reply_count': 2855, 'like_count': 3779, 'quote_count': 104, 'bookmark_count': 71, 'impression_count': 225810}",2026-02-11T14:47:03.000Z,Rand Paul,C
2021379582008668540,"Twisting Christianity to defend irreversible procedures on minors is not faith, it is politics. Real compassion protects children from permanent harm and puts parents back in charge.

Good luck @AndyBeshearKY in making child mutilation a centerpiece of your Presidential run! https://t.co/SWXI6XzT75",216881337,"{'retweet_count': 1704, 'reply_count': 682, 'like_count': 10700, 'quote_count': 71, 'bookmark_count': 205, 'impression_count': 251705}",2026-02-11T00:23:42.000Z,Rand Paul,C
2021009945450492398,The irony of a governor who sent state police to arrest churchgoers on Easter Sunday now wanting to nullify federal immigration law https://t.co/HpyWqo9hEm,216881337,"{'retweet_count': 3186, 'reply_count': 732, 'like_count': 13735, 'quote_count': 81, 'bookmark_count': 290, 'impression_count': 390223}",2026-02-09T23:54:54.000Z,Rand Paul,C
