id,text,author_id,public_metrics,name,spectrum
2023032861956423839,Yes! https://t.co/Rpx1YlBOs7,44196397,"{'retweet_count': 1254, 'reply_count': 1345, 'like_count': 10366, 'quote_count': 65, 'bookmark_count': 196, 'impression_count': 731368}",Elon,C
2023032187466183103,"AI must pass, in general, the “Galileo” test: even if almost all the training data repeats falsehoods, it must nonetheless see the truth https://t.co/5OURuiOP4f",44196397,"{'retweet_count': 1149, 'reply_count': 1577, 'like_count': 10339, 'quote_count': 110, 'bookmark_count': 612, 'impression_count': 964348}",Elon,C
2023027180247331213,"Wilberforce, and people like him, ended the global slave trade that had existed for several thousand years. 

They didn’t invent it, but they did stop it.

I should say almost entirely. There are still remnants of it in some parts of the world. https://t.co/HTNROgL8nO",44196397,"{'retweet_count': 1968, 'reply_count': 1360, 'like_count': 12030, 'quote_count': 86, 'bookmark_count': 755, 'impression_count': 1051394}",Elon,C
2022938126529040654,I love this monologue https://t.co/qDPRMnn68C,44196397,"{'retweet_count': 3258, 'reply_count': 2037, 'like_count': 26520, 'quote_count': 110, 'bookmark_count': 1520, 'impression_count': 7307008}",Elon,C
2022919799752294493,"For a country to survive, there has to be a common culture.

Nobody dies to defend a “multicultural economic zone”!

American culture, with its English-Scotts-Irish origin, is great and worth fighting for. 

Some may not realize it, but that’s why people come here. https://t.co/3qHYdyWp7k",44196397,"{'retweet_count': 11437, 'reply_count': 8112, 'like_count': 75784, 'quote_count': 1062, 'bookmark_count': 7334, 'impression_count': 6716557}",Elon,C
2022915846398448057,"Starship
 https://t.co/2JGpJuBWrh",44196397,"{'retweet_count': 10966, 'reply_count': 5856, 'like_count': 106213, 'quote_count': 680, 'bookmark_count': 5167, 'impression_count': 14355017}",Elon,C
2022906707572330786,Yup https://t.co/CYkNFpBcsx,44196397,"{'retweet_count': 11707, 'reply_count': 2771, 'like_count': 66523, 'quote_count': 201, 'bookmark_count': 2780, 'impression_count': 8519634}",Elon,C
2022819445538709734,"Dragon is docked with @Space_Station 
 https://t.co/nrX1aDJsBz",44196397,"{'retweet_count': 28656, 'reply_count': 11222, 'like_count': 444074, 'quote_count': 1423, 'bookmark_count': 19691, 'impression_count': 56531234}",Elon,C
2022740974452297871,Long time ago https://t.co/B37kp6rt9t,44196397,"{'retweet_count': 18281, 'reply_count': 9402, 'like_count': 252048, 'quote_count': 627, 'bookmark_count': 3503, 'impression_count': 19167883}",Elon,C
2022739066068856915,Astronauts docking with @Space_Station https://t.co/5FEvxrDLKv,44196397,"{'retweet_count': 5079, 'reply_count': 1598, 'like_count': 33797, 'quote_count': 93, 'bookmark_count': 836, 'impression_count': 10150426}",Elon,C
2022738795557494822,If only there were a company that could do this 🤔 https://t.co/K4dq9waPdH,44196397,"{'retweet_count': 7489, 'reply_count': 3870, 'like_count': 62784, 'quote_count': 289, 'bookmark_count': 2812, 'impression_count': 10465949}",Elon,C
